HomeCourt   top10   top15   top25   difffgp     diff3fgp    difffta     diffftp     diffreboundsPerGame     diffassistsPerGame      diffTovPerGame  margin
1           0       0       0       0           0           0           0           0                       0                       0               12
0           0       0       0       0           0           0           0           0                       0                       0               2
1           0       0       0       -.078       -.099       -1.5        -.109       3.000                   0.5                     2.000           10
1           0       0       0       -.117       -.104       -4.667      -.073       -9.667                  -10.000                 .333            28
0           1       0       0       -.106       -.064       -.950       -.112       -5.550                  -7.120                  -2.300          3
0           1       0       0       -.055       -.083       .400        -.046       -3.120                  -7                      -.120           -10
1           0       0       0       -.073       -.095       6.833       -.109       0                       -1.167                  .333            -3
1           0       0       0       -.001       -.001       .429        .002        .769                    .482                    -4.339          -1
1           0       0       0       -.045       -.095       4.736       -0.096      1.972                   -1.264                  -1.000          4
1           0       0       0       -0.036      -.015       -2.333      -.038       .556                    0                       -.556           38
1           0       0       0       -.014       -.049       -4.717      -.004       1.500                   -.033                   -.317           -6
1           0       0       0       .040        .070        -1.371      -.026       2.659                   3.412                   -3.432          20
2           0       0       1       -.005       .021        1.083       .023        .583                    -.417                   -1.250          20
1           0       0       0       .010        .001        -7.846      -.015       -3.385                  -.077                   -4.613          7
2           0       0       0       -.003       -.038       .071        .020        1.214                   -.071                   -2.643          -3
1           1       0       0       -.043       -.017       -1.533      -.033       .400                    -1.067                  -1.400          -6
2           0       0       1       -.043       -.036       -3.688      .005        -1.938                  -1.250                  -2.25           -2
1           0       0       0       -.013       -.010       -3.412      .027        -3.118                  .824                    -2.412          3
2           0       0       0       -.048       -.040       -1.997      .003        -.487                   -5.379                  -1.922          -4
2           0       0       0       -.019       -.005       -5.576      -.015       -2.623                  -.690                   -4.667          -10
1           0       0       1       -.040       -.040       -3.150      .021        -1.750                  -.250                   -1.700          10
2           0       0       1       -.051       -.033       -.905       -.020       .286                    -3.048                  .762            -5
1           0       0       0       -.021       -.002       -1.725      .062        -1.784                  -1.292                  -2.015          12
2           0       0       0       .027        .014        -7.565      .037        -2.652                  .261                    -4.304          22
1           0       0       1       .012        .015        .054        .035        1.261                   -.707                   -.569           -7
1           0       0       0       .009        -.056       -.003       .041        1.298                   -.297                   -1.295          12
2           0       0       0       .001        -.005       -.846       .019        -1.885                  .115                    -1.192          -2
2           0       0       0       -.008       -.009       -.926       .060        -1.889                  -1.148                  -2.815          -1
1           0       0       1       -.038       -.026       .178        -.019       -.464                   -2.929                  .642            17
2           1       0       0       -.027       -.013       -1.483      .001        -.103                   -.966                   -1.000          -19
1           0       0       0       -.008       .004        -1.667      .013        -1.467                  -3.067                  -2.067          -13
