HomeCourt   top10   top15   top25   difffgp     diff3fgp    difffta     diffftp     diffreboundsPerGame     diffassistsPerGame      diffTovPerGame  margin
1           0       0       0       0           0           0           0           0                       0                       0               24
2           0       0       0       -.055       -.057       -12.000     .153        1.000                   -7.000                  5.000           4
1           0       0       0       -.049       -.092       -19.000     .013        -14.000                 -5.000                  0.500           13
1           0       0       0       .041        -.099       -11.000     .100        5.333                   -1.667                  -1.333          14
0           0       0       0       .022        .001        -14.75      -.041       -9.250                  -3.75                   -2.000          -16
0           0       0       0       -.038       -.130       -4.400      .017        -.200                   1.800                   -.400           17
1           0       0       0       -.050       -.092       -6.167      -.011       -2.595                  -2.929                  -3.952          2
1           0       0       0       .030        .011        -3.714      -.001       -5.881                  4.333                   -1.095          10
0           0       0       0       .078        .068        -9.036      .008        -1.750                  4.286                   -2.036          10
1           0       0       0       -.005       -.008       -14.833     -.011       -9.667                  -.244                   2.033           11
2           0       0       0       .040        .030        -9.217      .054        -6.867                  -2.450                  -.550           -22
1           0       0       0       .047        .022        -7.356      .002        -3.076                  1.159                   -2.068          31
2           1       0       0       .006        -.028       -6.795      .006        -5.045                  -1.205                  .917            -15
1           0       0       0       .015        .019        -7.154      -.124       -5.077                  2.000                   2.308           -10
1           0       0       0       .017        -.004       -5.785      .016        -.857                   -.857                   -1.143          14
2           0       0       0       .037        .054        -6.733      -.071       -3.667                  2.533                   -.267           12
1           1       0       0       -.053       -.016       -7.438      .025        -4.563                  -1.438                  -.625           -9
2           0       0       1       .006        .030        -12.059     .038        -8.000                  1.235                   -2.294          -38
1           0       0       0       -.045       .027        -7.944      -.104       -7.278                  .167                    -.278           -2
2           0       0       0       .006        -.020       -2.947      .006        -3.211                  -2.105                  0.000           1
1           0       0       0       -.003       .038        -5.700      -.045       -3.250                  -1.650                  .850            4
2           1       0       0       -.044       .010        -8.381      .012        -6.190                  -1.190                  .762            -11
1           0       0       0       -.011       -.023       -8.955      -.082       -2.455                  -2.818                  -.136           -5
1           1       0       0       .005        -.015       -7.611      -.016       -5.168                  -1.128                  1.636           -7
2           0       0       0       -.008       .013        -5.292      -.040       -2.250                  -2.167                  .417            -29
1           0       0       0       .008        -.010       -3.16       .037        -2.720                  -2.400                  -.440           14
2           0       0       0       .012        .024        -7.567      .044        -.842                   -.359                   -.969           11
1           0       0       1       .008        .046        -11.852     .056        -9.037                  -.296                   -1.296          10
2           0       0       0       -.024       -.027       -7.571      -.069       -1.714                  -3.464                  .357            10
2           0       0       0       .011        .023        -5.276      -.073       -4.690                  -.034                   2.483           1
1           0       0       0       .017        .039        -7.533      -.042       -4.000                  .033                    .300            -22
